Termo Buscado,Nome Completo,Origem/Nacionalidade,Data de Nascimento,Local de Nascimento,Data de Falecimento,Local de Falecimento,Latitude,Longitude,Url,Imagem
Machado de Assis,Joaquim Maria Machado de Assis,Brasil,21 de junho de 1839,Rio de Janeiro,29 de setembro de 1908,Rio de Janeiro,-22.911111111,-43.205555555,https://pt.wikipedia.org/wiki/Machado_de_Assis,http://commons.wikimedia.org/wiki/Special:FilePath/Machado%20de%20Assis%20aos%2057%20anos.jpg
Jair Bolsonaro,Jair Messias Bolsonaro,Brasil,21 de março de 1955,Glicério,-,-,-21.376111111,-50.205833333,https://pt.wikipedia.org/wiki/Jair_Bolsonaro,http://commons.wikimedia.org/wiki/Special:FilePath/Jair%20Bolsonaro%20em%2024%20de%20abril%20de%202019%20%281%29%20%28cropped%29.jpg
Michael Jackson,Michael Joseph Jackson,Estados Unidos,29 de agosto de 1958,Gary,25 de junho de 2009,Los Angeles,41.580833333,-87.345555555,https://pt.wikipedia.org/wiki/Michael_Jackson,http://commons.wikimedia.org/wiki/Special:FilePath/Michael%20Jackson%20Dangerous%20World%20Tour%201993.jpg
Mao Tsé-Tung,Mao Tsé-Tung,China,26 de dezembro de 1893,Mao Zedong's Former Residence,09 de setembro de 1976,Zhongnanhai,27.9098,112.495,https://pt.wikipedia.org/wiki/Mao_Tsé-Tung,http://commons.wikimedia.org/wiki/Special:FilePath/Mao%20Zedong%201959.jpg
Anacleto de Medeiros,Anacleto Augusto de Medeiros,Brasil,13 de julho de 1866,Ilha de Paquetá,14 de agosto de 1907,Ilha de Paquetá,-22.759722222,-43.108888888,https://pt.wikipedia.org/wiki/Anacleto_de_Medeiros,http://commons.wikimedia.org/wiki/Special:FilePath/Anacletodemedeiros.jpg
Bill Watts,Bill Watts,Estados Unidos,05 de maio de 1939,Oklahoma City,-,-,35.4823,-97.5352,https://pt.wikipedia.org/wiki/Bill_Watts,http://commons.wikimedia.org/wiki/Special:FilePath/Bill%20Watts.jpg
Howard Keel,Harold Clifford Keel,Estados Unidos,13 de abril de 1919,Gillespie,07 de novembro de 2004,Palm Desert,39.1261,-89.8164,https://pt.wikipedia.org/wiki/Howard_Keel,http://commons.wikimedia.org/wiki/Special:FilePath/Howard%20Keel%20in%20Annie%20Get%20Your%20Gun%20trailer%202.jpg
William Shakespeare,William Shakespeare,Reino Unido,01 de abril de 1564,Stratford-upon-Avon,03 de maio de 1616,Stratford-upon-Avon,52.192777777,-1.706388888,https://pt.wikipedia.org/wiki/William_Shakespeare,http://commons.wikimedia.org/wiki/Special:FilePath/Shakespeare.jpg
elena blavatsky,Elena Petrovna Blavátskaya,Ucrânia,12 de agosto de 1831,Dnipro,08 de maio de 1891,Londres,48.4675,35.04,https://pt.wikipedia.org/wiki/Helena_Blavatsky,http://commons.wikimedia.org/wiki/Special:FilePath/Helena%20Petrovna%20Blavatsky.jpg
Vladimir Putin,Vladimir Vladimirovitch Putin,Rússia,07 de outubro de 1952,São Petersburgo,-,-,59.95,30.316666666,https://pt.wikipedia.org/wiki/Vladimir_Putin,http://commons.wikimedia.org/wiki/Special:FilePath/Vladimir%20Putin%2017-11-2021%20%28cropped%29.jpg
Elon Musk,Elon Reeve Musk,África do Sul,28 de junho de 1971,Pretória,-,-,-25.746388888,28.188055555,https://pt.wikipedia.org/wiki/Elon_Musk,http://commons.wikimedia.org/wiki/Special:FilePath/Elon%20Musk%20Royal%20Society%20%28crop2%29.jpg
Machado de Assis,Joaquim Maria Machado de Assis,Brasil,21 de junho de 1839,Rio de Janeiro,29 de setembro de 1908,Rio de Janeiro,-22.911111111, -43.205555555,https://pt.wikipedia.org/wiki/Machado_de_Assis,http://commons.wikimedia.org/wiki/Special:FilePath/Machado%20de%20Assis%20aos%2057%20anos.jpg
Machado de Assis,Joaquim Maria Machado de Assis,Brasil,21 de junho de 1839,Rio de Janeiro,29 de setembro de 1908,Rio de Janeiro,-22.911111111, -43.205555555,https://pt.wikipedia.org/wiki/Machado_de_Assis,http://commons.wikimedia.org/wiki/Special:FilePath/Machado%20de%20Assis%20aos%2057%20anos.jpg
