Termo Buscado,Nome Completo,Origem/Nacionalidade,Data de Nascimento,Local de Nascimento,Data de Falecimento,Local de Falecimento,Latitude,Longitude,Url,Imagem
Li Qiang,Li Qiang,China,23 de julho de 1959,Rui'an,-,-,27.778, 120.65263,https://pt.wikipedia.org/wiki/Li_Qiang,http://commons.wikimedia.org/wiki/Special:FilePath/%E6%9D%8E%E5%BC%BA%20Li%20Qiang%2020230313%2001.jpg
Machado de Assis,Joaquim Maria Machado de Assis,Brasil,21 de junho de 1839,Rio de Janeiro,29 de setembro de 1908,Rio de Janeiro,-22.911111111, -43.205555555,https://pt.wikipedia.org/wiki/Machado_de_Assis,http://commons.wikimedia.org/wiki/Special:FilePath/Machado%20de%20Assis%20aos%2057%20anos.jpg
Alan Turing,Alan Mathison Turing,Reino Unido,23 de junho de 1912,Maida Vale,07 de junho de 1954,Wilmslow,51.5274, -0.1899,https://pt.wikipedia.org/wiki/Alan_Turing,http://commons.wikimedia.org/wiki/Special:FilePath/Alan%20Turing%20Aged%2016.jpg
Alan Turing,Alan Mathison Turing,Reino Unido,23 de junho de 1912,Maida Vale,07 de junho de 1954,Wilmslow,51.5274, -0.1899,https://pt.wikipedia.org/wiki/Alan_Turing,http://commons.wikimedia.org/wiki/Special:FilePath/Alan%20Turing%20Aged%2016.jpg
William Shakespeare,William Shakespeare,Reino Unido,01 de abril de 1564,Stratford-upon-Avon,03 de maio de 1616,Stratford-upon-Avon,52.192777777, -1.706388888,https://pt.wikipedia.org/wiki/William_Shakespeare,http://commons.wikimedia.org/wiki/Special:FilePath/Shakespeare.jpg
Johann Wolfgang von Goethe,Johann Wolfgang Goethe,Alemanha,28 de agosto de 1749,Frankfurt,22 de março de 1832,Weimar,50.110555555, 8.682222222,https://pt.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,http://commons.wikimedia.org/wiki/Special:FilePath/Goethe%20%28Stieler%201828%29.jpg
Ralph Waldo Emerson,Ralph Waldo Emerson,Estados Unidos,25 de maio de 1803,Boston,27 de abril de 1882,Concord,42.360277777, -71.057777777,https://pt.wikipedia.org/wiki/Ralph_Waldo_Emerson,http://commons.wikimedia.org/wiki/Special:FilePath/Ralph%20Waldo%20Emerson%20ca1857%20retouched.jpg
Henry David Thoreau,David Henry Thoreau,Estados Unidos,12 de julho de 1817,Wheeler-Minot Farmhouse,06 de maio de 1862,Concord,42.469444, -71.311389,https://pt.wikipedia.org/wiki/Henry_David_Thoreau,http://commons.wikimedia.org/wiki/Special:FilePath/Benjamin%20D.%20Maxham%20-%20Henry%20David%20Thoreau%20-%20Restored%20-%20greyscale%20-%20straightened.jpg
Mark Twain,Samuel Langhorne Clemens,Estados Unidos,30 de novembro de 1835,Florida,21 de abril de 1910,Redding,39.491694444, -91.79025,https://pt.wikipedia.org/wiki/Mark_Twain,http://commons.wikimedia.org/wiki/Special:FilePath/MarkTwain.LOC.jpg
Júlio Verne,Jules Gabriel Verne,França,08 de fevereiro de 1828,Nantes,24 de março de 1905,Amiens,47.217222222, -1.553888888,https://pt.wikipedia.org/wiki/Júlio_Verne,http://commons.wikimedia.org/wiki/Special:FilePath/F%C3%A9lix%20Nadar%201820-1910%20portraits%20Jules%20Verne.jpg
