Termo Buscado,Nome Completo,Origem/Nacionalidade,Data de Nascimento,Local de Nascimento,Data de Falecimento,Local de Falecimento,Século,Latitude,Longitude,Url,Imagem
Confúcio,Confúcio,China,03 de outubro de 551,Qufu,04 de março de 478,Lu,22,35.6, 116.983333333,https://pt.wikipedia.org/wiki/Confúcio,http://commons.wikimedia.org/wiki/Special:FilePath/Confucius%2C%20fresco%20from%20a%20Western%20Han%20tomb%20of%20Dongping%20County%2C%20Shandong%20province%2C%20China.jpg
William Shakespeare,William Shakespeare,Reino Unido,01 de abril de 1564,Stratford-upon-Avon,03 de maio de 1616,Stratford-upon-Avon,4,52.192777777, -1.706388888,https://pt.wikipedia.org/wiki/William_Shakespeare,http://commons.wikimedia.org/wiki/Special:FilePath/Shakespeare.jpg
Johann Wolfgang von Goethe,Johann Wolfgang Goethe,Alemanha,28 de agosto de 1749,Frankfurt,22 de março de 1832,Weimar,7,50.110555555, 8.682222222,https://pt.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,http://commons.wikimedia.org/wiki/Special:FilePath/Goethe%20%28Stieler%201828%29.jpg
Ralph Waldo Emerson,Ralph Waldo Emerson,Estados Unidos,25 de maio de 1803,Boston,27 de abril de 1882,Concord,10,42.360277777, -71.057777777,https://pt.wikipedia.org/wiki/Ralph_Waldo_Emerson,http://commons.wikimedia.org/wiki/Special:FilePath/Ralph%20Waldo%20Emerson%20ca1857%20retouched.jpg
Henry David Thoreau,David Henry Thoreau,Estados Unidos,12 de julho de 1817,Wheeler-Minot Farmhouse,06 de maio de 1862,Concord,11,42.469444, -71.311389,https://pt.wikipedia.org/wiki/Henry_David_Thoreau,http://commons.wikimedia.org/wiki/Special:FilePath/Benjamin%20D.%20Maxham%20-%20Henry%20David%20Thoreau%20-%20Restored%20-%20greyscale%20-%20straightened.jpg
Mark Twain,Samuel Langhorne Clemens,Estados Unidos,30 de novembro de 1835,Florida,21 de abril de 1910,Redding,5,39.491694444, -91.79025,https://pt.wikipedia.org/wiki/Mark_Twain,http://commons.wikimedia.org/wiki/Special:FilePath/MarkTwain.LOC.jpg
Júlio Verne,Jules Gabriel Verne,França,08 de fevereiro de 1828,Nantes,24 de março de 1905,Amiens,16,47.217222222, -1.553888888,https://pt.wikipedia.org/wiki/Júlio_Verne,http://commons.wikimedia.org/wiki/Special:FilePath/F%C3%A9lix%20Nadar%201820-1910%20portraits%20Jules%20Verne.jpg
Hermann Hesse,Hermann Karl Hesse,Alemanha,02 de julho de 1877,Calw,09 de agosto de 1962,Montagnola,22,48.714444444, 8.7375,https://pt.wikipedia.org/wiki/Hermann_Hesse,http://commons.wikimedia.org/wiki/Special:FilePath/Hermann%20Hesse%202.jpg
Maya Angelou,Marguerite Annie Johnson,Estados Unidos,04 de abril de 1928,St. Louis,28 de maio de 2014,Winston-Salem,10,38.626388888, -90.199444444,https://pt.wikipedia.org/wiki/Maya_Angelou,http://commons.wikimedia.org/wiki/Special:FilePath/Maya%20Angelou%20visits%20YCP%20Feb%202013.jpg
C. S. Lewis,Clive Staples Lewis,Reino Unido,29 de novembro de 1898,Belfast,22 de novembro de 1963,Oxford,4,54.596388888, -5.93,https://pt.wikipedia.org/wiki/C._S._Lewis,http://commons.wikimedia.org/wiki/Special:FilePath/CS%20Lewis%20%281917%29.jpg
J. R. R. Tolkien,John Ronald Reuel Tolkien,África do Sul,03 de janeiro de 1892,Bloemfontein,02 de setembro de 1973,Bournemouth,13,-29.1, 26.216666666,https://pt.wikipedia.org/wiki/J._R._R._Tolkien,http://commons.wikimedia.org/wiki/Special:FilePath/J.%20R.%20R.%20Tolkien%2C%20ca.%201925.jpg
