Termo Buscado,Nome Completo,Origem/Nacionalidade,Data de Nascimento,Local de Nascimento,Data de Falecimento,Local de Falecimento,Século,Latitude,Longitude,Url,Imagem
Thuy Trang,Thuy Trang,Vietname,14 de dezembro de 1973,Cidade de Ho Chi Minh,03 de setembro de 2001,São Francisco,20,10.775555555, 106.701944444,https://pt.wikipedia.org/wiki/Thuy_Trang,Sem Imagem
J. R. R. Tolkien,John Ronald Reuel Tolkien,África do Sul,03 de janeiro de 1892,Bloemfontein,02 de setembro de 1973,Bournemouth,19,-29.1, 26.216666666,https://pt.wikipedia.org/wiki/J._R._R._Tolkien,http://commons.wikimedia.org/wiki/Special:FilePath/J.%20R.%20R.%20Tolkien%2C%20ca.%201925.jpg
Jane Austen,Jane Austen,Reino Unido,16 de dezembro de 1775,Steventon,18 de julho de 1817,Winchester,18,51.230278, -1.218889,https://pt.wikipedia.org/wiki/Jane_Austen,http://commons.wikimedia.org/wiki/Special:FilePath/CassandraAusten-JaneAusten%28c.1810%29%20hires.jpg
Beto Simas,Alberto Nunan Simas,Brasil,21 de julho de 1962,Rio de Janeiro,-,-,20,-22.911111111, -43.205555555,https://pt.wikipedia.org/wiki/Beto_Simas,Sem Imagem
Alessandra Negrini,Alessandra Vidal de Negreiros Negrini,Brasil,29 de agosto de 1970,São Paulo,-,-,20,-23.550394444, -46.633947222,https://pt.wikipedia.org/wiki/Alessandra_Negrini,http://commons.wikimedia.org/wiki/Special:FilePath/Alessandra%20Negrini%20close-up.jpg
Karl Marx,Karl Heinrich Marx,Alemanha,05 de maio de 1818,Tréveris,14 de março de 1883,Londres,19,49.75565, 6.63935,https://pt.wikipedia.org/wiki/Karl_Marx,http://commons.wikimedia.org/wiki/Special:FilePath/Karl%20Marx%20001.jpg
Max Weber,Maximilian Carl Emil Weber,Alemanha,21 de abril de 1864,Erfurt,14 de junho de 1920,Munique,19,50.978055555, 11.029166666,https://pt.wikipedia.org/wiki/Max_Weber,http://commons.wikimedia.org/wiki/Special:FilePath/Max%20Weber%201894.jpg
Voltaire,François-Marie Arouet,França,21 de novembro de 1694,Paris,30 de maio de 1778,Paris,17,48.856666666, 2.352222222,https://pt.wikipedia.org/wiki/Voltaire,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolas%20de%20Largilli%C3%A8re%20-%20Portrait%20de%20Voltaire%20%281694-1778%29%20en%201718%20-%20P208%20-%20Mus%C3%A9e%20Carnavalet%20-%202.jpg
Scott Adkins,Scott Johan Edward Adkins,Reino Unido,17 de junho de 1976,Royal Sutton Coldfield,-,-,20,52.563, -1.822,https://pt.wikipedia.org/wiki/Scott_Adkins,http://commons.wikimedia.org/wiki/Special:FilePath/Scott%20Adkins%20Hector.jpg
Grigori Perelman,Grigori Yakovlevich Perelman,Rússia,13 de junho de 1966,São Petersburgo,-,-,20,59.95, 30.316666666,https://pt.wikipedia.org/wiki/Grigori_Perelman,http://commons.wikimedia.org/wiki/Special:FilePath/Grigori%20Perelman%2C%201993%20%28re-scanned%29%20%28cropped%29.jpg
Steve Jobs,Abdul Lateef Jandali,Estados Unidos,24 de fevereiro de 1955,São Francisco,05 de outubro de 2011,Palo Alto,20,37.7775, -122.416388888,https://pt.wikipedia.org/wiki/Steve_Jobs,http://commons.wikimedia.org/wiki/Special:FilePath/Steve%20Jobs%20Headshot%202010-CROP2.jpg
